Idx;t;x_pos;x_vel;y_pos;y_vel;z_pos;z_vel;laser_pwr;p_chamb;gassFlow;glassSenseVal;glassLedPwr
57;2023-08-02-07:34:58.548;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2324;28
58;2023-08-02-07:34:58.558;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2324;28
59;2023-08-02-07:34:58.568;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2320;28
60;2023-08-02-07:34:58.578;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2330;28
61;2023-08-02-07:34:58.588;121.52570;0.00000;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2322;28
62;2023-08-02-07:34:58.598;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2322;28
63;2023-08-02-07:34:58.608;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2319;28
64;2023-08-02-07:34:58.618;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2324;28
65;2023-08-02-07:34:58.628;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2319;28
66;2023-08-02-07:34:58.638;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2320;28
67;2023-08-02-07:34:58.648;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2320;28
68;2023-08-02-07:34:58.658;121.52570;0.00300;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2317;28
69;2023-08-02-07:34:58.668;121.52570;0.00400;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2319;28
70;2023-08-02-07:34:58.678;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2321;28
71;2023-08-02-07:34:58.688;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2326;28
72;2023-08-02-07:34:58.698;121.52570;0.00300;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2324;28
73;2023-08-02-07:34:58.708;121.52570;0.00400;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2320;28
74;2023-08-02-07:34:58.718;121.52570;0.00300;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2324;28
75;2023-08-02-07:34:58.728;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2322;28
76;2023-08-02-07:34:58.738;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2319;28
77;2023-08-02-07:34:58.748;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2324;28
78;2023-08-02-07:34:58.758;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2317;28
79;2023-08-02-07:34:58.768;121.52570;0.00500;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2322;28
80;2023-08-02-07:34:58.778;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2326;28
81;2023-08-02-07:34:58.788;121.52570;0.00300;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2317;28
82;2023-08-02-07:34:58.798;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2317;28
83;2023-08-02-07:34:58.808;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2322;28
84;2023-08-02-07:34:58.818;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2321;28
85;2023-08-02-07:34:58.828;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2323;28
86;2023-08-02-07:34:58.838;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2322;28
87;2023-08-02-07:34:58.848;121.52570;0.00000;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2326;28
88;2023-08-02-07:34:58.858;121.52570;0.00000;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2324;28
89;2023-08-02-07:34:58.868;121.52570;0.00300;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2319;28
90;2023-08-02-07:34:58.878;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2324;28
91;2023-08-02-07:34:58.888;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2326;28
92;2023-08-02-07:34:58.898;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2313;28
93;2023-08-02-07:34:58.908;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2320;28
94;2023-08-02-07:34:58.918;121.52570;0.00000;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2317;28
95;2023-08-02-07:34:58.928;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2324;28
96;2023-08-02-07:34:58.938;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2322;28
97;2023-08-02-07:34:58.948;121.52570;0.00800;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2322;28
98;2023-08-02-07:34:58.958;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2322;28
99;2023-08-02-07:34:58.968;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2322;28
100;2023-08-02-07:34:58.978;121.52570;0.00400;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2323;28
101;2023-08-02-07:34:58.988;121.52570;0.00000;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2320;28
102;2023-08-02-07:34:58.998;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2324;28
103;2023-08-02-07:34:59.008;121.52570;0.00000;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2324;28
104;2023-08-02-07:34:59.018;121.52570;0.00000;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2326;28
105;2023-08-02-07:34:59.028;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2320;28
106;2023-08-02-07:34:59.038;121.52570;0.00000;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2322;28
107;2023-08-02-07:34:59.048;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2320;28
108;2023-08-02-07:34:59.058;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2326;28
109;2023-08-02-07:34:59.068;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2324;28
110;2023-08-02-07:34:59.078;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2316;28
111;2023-08-02-07:34:59.088;121.52570;0.00300;79.99870;79.99870;29.99230;29.99230;0.00000;972.29999;0.00000;2320;28
112;2023-08-02-07:34:59.098;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2322;28
113;2023-08-02-07:34:59.108;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2324;28
114;2023-08-02-07:34:59.118;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2321;28
115;2023-08-02-07:34:59.128;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2321;28
116;2023-08-02-07:34:59.138;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2320;28
117;2023-08-02-07:34:59.148;121.52570;0.00200;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2322;28
118;2023-08-02-07:34:59.158;121.52570;0.00000;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2320;28
119;2023-08-02-07:34:59.168;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2322;28
120;2023-08-02-07:34:59.178;121.52570;0.00300;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2324;28
121;2023-08-02-07:34:59.188;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2324;28
122;2023-08-02-07:34:59.198;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2322;28
123;2023-08-02-07:34:59.208;121.52570;0.00100;79.99870;79.99870;29.99230;29.99230;0.00000;972.20001;0.00000;2326;28
